name,time/op (ns/op),±
StructSliceByName/Unstable-BuiltinSort-Sort-Xor-256,4.73282E+04,4%
StructSliceByName/Unstable-BuiltinSort-Slice-Xor-256,6.57524E+04,1%
StructSliceByName/Stable-BuiltinSort-Stable-Xor-256,6.19094E+04,3%
StructSliceByName/Stable-BuiltinSort-SliceStable-Xor-256,1.32768E+05,1%
StructSliceByName/Unstable-Dps-TypeAssertion-Random-1024,5.36572E+05,1%
StructSliceByName/Stable-TimSort-TypeAssertion-Random-1024,5.21106E+05,2%
StructSliceByName/Stable-TimSort-Interface-Random-1024,3.21284E+05,4%
StructSliceByName/Stable-TimSort-Slice-Random-1024,3.90085E+05,1%
StructSliceByName/Unstable-BuiltinSort-Sort-Random-1024,2.81651E+05,2%
StructSliceByName/Unstable-BuiltinSort-Slice-Random-1024,3.76925E+05,2%
StructSliceByName/Stable-BuiltinSort-Stable-Random-1024,5.84459E+05,3%
StructSliceByName/Stable-BuiltinSort-SliceStable-Random-1024,1.18831E+06,2%
StructSliceByName/Unstable-Dps-TypeAssertion-Xor-1024,4.73138E+05,1%
StructSliceByName/Stable-TimSort-TypeAssertion-Xor-1024,3.11499E+05,1%
StructSliceByName/Stable-TimSort-Interface-Xor-1024,1.27703E+05,1%
StructSliceByName/Stable-TimSort-Slice-Xor-1024,1.79152E+05,2%
StructSliceByName/Unstable-BuiltinSort-Sort-Xor-1024,2.37974E+05,1%
StructSliceByName/Unstable-BuiltinSort-Slice-Xor-1024,3.21984E+05,1%
StructSliceByName/Stable-BuiltinSort-Stable-Xor-1024,3.31662E+05,2%
StructSliceByName/Stable-BuiltinSort-SliceStable-Xor-1024,7.62041E+05,1%
StructSliceByName/Unstable-Dps-TypeAssertion-Random-4096,2.56575E+06,4%
StructSliceByName/Stable-TimSort-TypeAssertion-Random-4096,2.61205E+06,3%
StructSliceByName/Stable-TimSort-Interface-Random-4096,1.63042E+06,2%
StructSliceByName/Stable-TimSort-Slice-Random-4096,2.05812E+06,2%
StructSliceByName/Unstable-BuiltinSort-Sort-Random-4096,1.41101E+06,2%
StructSliceByName/Unstable-BuiltinSort-Slice-Random-4096,1.86602E+06,3%
StructSliceByName/Stable-BuiltinSort-Stable-Random-4096,3.17776E+06,1%
StructSliceByName/Stable-BuiltinSort-SliceStable-Random-4096,6.94927E+06,5%
StructSliceByName/Unstable-Dps-TypeAssertion-Xor-4096,2.13384E+06,3%
StructSliceByName/Stable-TimSort-TypeAssertion-Xor-4096,1.26218E+06,1%
StructSliceByName/Stable-TimSort-Interface-Xor-4096,4.97238E+05,1%
StructSliceByName/Stable-TimSort-Slice-Xor-4096,7.11926E+05,1%
StructSliceByName/Unstable-BuiltinSort-Sort-Xor-4096,1.21461E+06,2%
StructSliceByName/Unstable-BuiltinSort-Slice-Xor-4096,1.60282E+06,2%
StructSliceByName/Stable-BuiltinSort-Stable-Xor-4096,1.49930E+06,1%
StructSliceByName/Stable-BuiltinSort-SliceStable-Xor-4096,3.55330E+06,1%
StructSliceByName/Unstable-Dps-TypeAssertion-Random-16384,1.47154E+07,3%
StructSliceByName/Stable-TimSort-TypeAssertion-Random-16384,1.26405E+07,1%
StructSliceByName/Stable-TimSort-Interface-Random-16384,8.35766E+06,1%
StructSliceByName/Stable-TimSort-Slice-Random-16384,9.95386E+06,1%
StructSliceByName/Unstable-BuiltinSort-Sort-Random-16384,7.27771E+06,3%
StructSliceByName/Unstable-BuiltinSort-Slice-Random-16384,9.46425E+06,2%
StructSliceByName/Stable-BuiltinSort-Stable-Random-16384,1.67824E+07,1%
StructSliceByName/Stable-BuiltinSort-SliceStable-Random-16384,3.63799E+07,1%
StructSliceByName/Unstable-Dps-TypeAssertion-Xor-16384,1.13630E+07,1%
StructSliceByName/Stable-TimSort-TypeAssertion-Xor-16384,9.72104E+06,1%
StructSliceByName/Stable-TimSort-Interface-Xor-16384,2.20693E+06,2%
StructSliceByName/Stable-TimSort-Slice-Xor-16384,3.17893E+06,2%
StructSliceByName/Unstable-BuiltinSort-Sort-Xor-16384,5.88848E+06,2%
StructSliceByName/Unstable-BuiltinSort-Slice-Xor-16384,7.39934E+06,2%
StructSliceByName/Stable-BuiltinSort-Stable-Xor-16384,7.27256E+06,0%
StructSliceByName/Stable-BuiltinSort-SliceStable-Xor-16384,1.55597E+07,4%
StructSliceByName/Unstable-Dps-TypeAssertion-Random-65536,6.85185E+07,1%
StructSliceByName/Stable-TimSort-TypeAssertion-Random-65536,6.99662E+07,3%
StructSliceByName/Stable-TimSort-Interface-Random-65536,4.23460E+07,3%
StructSliceByName/Stable-TimSort-Slice-Random-65536,5.15424E+07,5%
StructSliceByName/Unstable-BuiltinSort-Sort-Random-65536,3.55005E+07,4%
StructSliceByName/Unstable-BuiltinSort-Slice-Random-65536,4.33900E+07,2%
StructSliceByName/Stable-BuiltinSort-Stable-Random-65536,8.43266E+07,3%
StructSliceByName/Stable-BuiltinSort-SliceStable-Random-65536,1.92707E+08,3%
StructSliceByName/Unstable-Dps-TypeAssertion-Xor-65536,4.66197E+07,2%
StructSliceByName/Stable-TimSort-TypeAssertion-Xor-65536,3.06883E+07,1%
StructSliceByName/Stable-TimSort-Interface-Xor-65536,1.01942E+07,3%
StructSliceByName/Stable-TimSort-Slice-Xor-65536,1.50888E+07,3%
StructSliceByName/Unstable-BuiltinSort-Sort-Xor-65536,2.73004E+07,2%
StructSliceByName/Unstable-BuiltinSort-Slice-Xor-65536,3.49113E+07,3%
StructSliceByName/Stable-BuiltinSort-Stable-Xor-65536,2.71864E+07,4%
StructSliceByName/Stable-BuiltinSort-SliceStable-Xor-65536,6.87856E+07,7%

name,alloc/op (B/op),±
Ints/Dps-SpecializedInts-Random-256,0.00000E+00
Ints/Dps-TypeAssertion-Random-256,8.22400E+03,0%
Ints/TimSort-TypeAssertion-Random-256,1.05760E+04,0%
Ints/TimSort-Interface-Random-256,3.40800E+03,0%
Ints/TimSort-Slice-Random-256,3.50400E+03,0%
